人物ID,著者名,作品ID,作品名,仮名遣い種別,翻訳者名等,状態,状態の開始日,底本名,出版社名,作品名読み,原題,XHTML/HTMLファイルURL
81,宮沢 賢治,473,よだかの星,新字新仮名,,公開,1998-08-20,新編　銀河鉄道の夜,新潮文庫、新潮社,よだかのほし,,https://www.aozora.gr.jp/cards/000081/files/473_42318.html
81,宮沢 賢治,1116,四又の百合,新字新仮名,,公開,2000-08-25,銀河鉄道の夜,角川文庫、角川書店,よまたのゆり,,https://www.aozora.gr.jp/cards/000081/files/1116.html
81,宮沢 賢治,4864,ラジュウムの雁,旧字旧仮名,,公開,2004-03-20,宮澤賢治全集第六卷,筑摩書房,ラジュウムのかり,,https://www.aozora.gr.jp/cards/000081/files/4864_14854.html
81,宮沢 賢治,4865,龍と詩人,旧字旧仮名,,公開,2004-03-20,宮澤賢治全集第六卷,筑摩書房,りゅうとしじん,,https://www.aozora.gr.jp/cards/000081/files/4865_14855.html
81,宮沢 賢治,53375,〔りんごのみきのはひのひかり〕,新字旧仮名,,公開,2011-07-09,新修宮沢賢治全集　第六巻,筑摩書房,〔りんごのみきのはいのひかり〕,,https://www.aozora.gr.jp/cards/000081/files/53375_43339.html
81,宮沢 賢治,53377,〔昤々としてひかれるは〕,新字旧仮名,,公開,2011-07-09,新修宮沢賢治全集　第六巻,筑摩書房,〔れいれいとしてひかれるは〕,,https://www.aozora.gr.jp/cards/000081/files/53377_43340.html
81,宮沢 賢治,43801,若い木霊,新字新仮名,,公開,2005-04-16,ポラーノの広場,新潮文庫、新潮社,わかいこだま,,https://www.aozora.gr.jp/cards/000081/files/43801_18092.html
81,宮沢 賢治,53367,〔われかのひとをこととふに〕,新字旧仮名,,公開,2011-07-09,新修宮沢賢治全集　第六巻,筑摩書房,〔われかのひとをこととうに〕,,https://www.aozora.gr.jp/cards/000081/files/53367_43341.html
81,宮沢 賢治,53357,〔われ聴衆に会釈して〕,新字旧仮名,,公開,2011-07-02,新修宮沢賢治全集　第六巻,筑摩書房,〔われちょうしゅうにえしゃくして〕,,https://www.aozora.gr.jp/cards/000081/files/53357_43342.html
81,宮沢 賢治,53427,〔われはダルケを名乗れるものと〕,新字旧仮名,,公開,2011-07-30,新修宮沢賢治全集　第六巻,筑摩書房,〔われはダルケをなのれるものと〕,,https://www.aozora.gr.jp/cards/000081/files/53427_43343.html
81,宮沢 賢治,53355,〔われらが書に順ひて〕,新字旧仮名,,公開,2011-07-02,新修宮沢賢治全集　第六巻,筑摩書房,〔われらがふみにしたがいて〕,,https://www.aozora.gr.jp/cards/000081/files/53355_43344.html
81,宮沢 賢治,53393,〔われらひとしく丘に立ち〕,新字旧仮名,,公開,2011-07-16,新修宮沢賢治全集　第六巻,筑摩書房,〔われらひとしくおかにたち〕,,https://www.aozora.gr.jp/cards/000081/files/53393_43345.html
929,宮島 資夫,47001,恨なき殺人,新字新仮名,,公開,2017-08-01,日本プロレタリア文学集・3　初期プロレタリア文学集（三）,新日本出版社,うらみなきさつじん,,https://www.aozora.gr.jp/cards/000929/files/47001_62100.html
929,宮島 資夫,46984,清造と沼,新字新仮名,,公開,2008-05-18,赤い鳥代表作集　2,小峰書店,せいぞうとぬま,,https://www.aozora.gr.jp/cards/000929/files/46984_30974.html
929,宮島 資夫,55652,四谷、赤坂,新字新仮名,,公開,2013-09-30,大東京繁昌記,毎日新聞社,よつや、あかさか,,https://www.aozora.gr.jp/cards/000929/files/55652_51176.html
63,宮武 外骨,385,一円本流行の害毒と其裏面談,新字新仮名,,公開,1999-07-10,一円本流行の害毒と其裏面談,有限社,いちえんぼんりゅうこうのがいどくとそのりめんだん,,https://www.aozora.gr.jp/cards/000063/files/385_47978.html
63,宮武 外骨,58939,骨董品化した古珍書,新字旧仮名,,公開,2018-07-28,日本の名随筆　別巻12　古書,作品社,こっとうひんかしたこちんしょ,,https://www.aozora.gr.jp/cards/000063/files/58939_65229.html
1446,宮地 嘉六,50533,ある職工の手記,新字旧仮名,,公開,2010-10-13,現代日本文學大系　49　葛西善藏　嘉村礒多　相馬泰三　川崎長太郎　宮地嘉六　木山捷平　集,筑摩書房,あるしょっこうのしゅき,,https://www.aozora.gr.jp/cards/001446/files/50533_40585.html
1446,宮地 嘉六,50534,煤煙の匂ひ,新字旧仮名,,公開,2010-10-13,現代日本文學大系　49　葛西善藏　嘉村礒多　相馬泰三　川崎長太郎　宮地嘉六　木山捷平　集,筑摩書房,ばいえんのにおい,,https://www.aozora.gr.jp/cards/001446/files/50534_40584.html
1446,宮地 嘉六,51948,老残,新字旧仮名,,公開,2015-01-02,現代日本文學大系　49　葛西善藏　嘉村礒多　相馬泰三　川崎長太郎　宮地嘉六　木山捷平集,筑摩書房,ろうざん,,https://www.aozora.gr.jp/cards/001446/files/51948_55345.html
